Used SVM.
Freeze all layer and unfroze only the last 5 layer




accuracy of classes:
Class: Rock_Wren, Accuracy: 1.0
Class: Black_and_white_Warbler, Accuracy: 1.0
Class: Groove_billed_Ani, Accuracy: 1.0
Class: Rhinoceros_Auklet, Accuracy: 1.0
Class: Ringed_Kingfisher, Accuracy: 1.0
Class: Western_Meadowlark, Accuracy: 0.6666666666666666
Class: Pomarine_Jaeger, Accuracy: 0.8333333333333334
Class: Summer_Tanager, Accuracy: 0.75
Class: Yellow_throated_Vireo, Accuracy: 1.0
Class: Olive_sided_Flycatcher, Accuracy: 0.6666666666666666
Class: Yellow_Warbler, Accuracy: 0.5
Class: Magnolia_Warbler, Accuracy: 0.8
Class: Bewick_Wren, Accuracy: 0.7142857142857143
Class: Pine_Warbler, Accuracy: 0.8333333333333334
Class: Fish_Crow, Accuracy: 0.6666666666666666
Class: Philadelphia_Vireo, Accuracy: 0.7142857142857143
Class: House_Sparrow, Accuracy: 1.0
Class: Least_Tern, Accuracy: 0.6
Class: Red_bellied_Woodpecker, Accuracy: 1.0
Class: Warbling_Vireo, Accuracy: 0.8571428571428571
Class: Eared_Grebe, Accuracy: 1.0
Class: European_Goldfinch, Accuracy: 1.0
Class: Red_eyed_Vireo, Accuracy: 0.8571428571428571
Class: Cedar_Waxwing, Accuracy: 0.5714285714285714
Class: Black_throated_Blue_Warbler, Accuracy: 1.0
Class: Yellow_breasted_Chat, Accuracy: 1.0
Class: Green_Jay, Accuracy: 0.8571428571428571
Class: Mourning_Warbler, Accuracy: 0.8571428571428571
Class: Red_cockaded_Woodpecker, Accuracy: 0.75
Class: Song_Sparrow, Accuracy: 0.625
Class: Fox_Sparrow, Accuracy: 0.8571428571428571
Class: Florida_Jay, Accuracy: 0.8571428571428571
Class: Grasshopper_Sparrow, Accuracy: 0.8571428571428571
Class: Myrtle_Warbler, Accuracy: 0.75
Class: Ivory_Gull, Accuracy: 0.75
Class: Horned_Puffin, Accuracy: 1.0
Class: Cape_Glossy_Starling, Accuracy: 1.0
Class: Lincoln_Sparrow, Accuracy: 1.0
Class: Common_Raven, Accuracy: 0.6
Class: White_Pelican, Accuracy: 1.0
Class: Common_Yellowthroat, Accuracy: 0.8
Class: Nelson_Sharp_tailed_Sparrow, Accuracy: 0.8333333333333334
Class: Forsters_Tern, Accuracy: 1.0
Class: Purple_Finch, Accuracy: 0.8333333333333334
Class: Horned_Grebe, Accuracy: 0.8333333333333334
Class: Le_Conte_Sparrow, Accuracy: 1.0
Class: Common_Tern, Accuracy: 0.14285714285714285
Class: Pied_Kingfisher, Accuracy: 1.0
Class: Clark_Nutcracker, Accuracy: 1.0
Class: Herring_Gull, Accuracy: 0.2
Class: Black_throated_Sparrow, Accuracy: 1.0
Class: Hooded_Warbler, Accuracy: 1.0
Class: Red_headed_Woodpecker, Accuracy: 0.8333333333333334
Class: Whip_poor_Will, Accuracy: 0.75
Class: Rusty_Blackbird, Accuracy: 0.8
Class: Pine_Grosbeak, Accuracy: 1.0
Class: Western_Gull, Accuracy: 0.5
Class: White_breasted_Nuthatch, Accuracy: 1.0
Class: House_Wren, Accuracy: 0.6
Class: Bank_Swallow, Accuracy: 0.6
Class: Field_Sparrow, Accuracy: 0.8333333333333334
Class: Baird_Sparrow, Accuracy: 0.8571428571428571
Class: Laysan_Albatross, Accuracy: 1.0
Class: Blue_Grosbeak, Accuracy: 1.0
Class: Chuck_will_Widow, Accuracy: 0.5
Class: California_Gull, Accuracy: 0.6
Class: Brown_Creeper, Accuracy: 1.0
Class: Painted_Bunting, Accuracy: 1.0
Class: Red_faced_Cormorant, Accuracy: 0.5
Class: Pigeon_Guillemot, Accuracy: 1.0
Class: Long_tailed_Jaeger, Accuracy: 1.0
Class: Hooded_Oriole, Accuracy: 0.8571428571428571
Class: Slaty_backed_Gull, Accuracy: 0.6666666666666666
Class: Blue_headed_Vireo, Accuracy: 0.7142857142857143
Class: Bay_breasted_Warbler, Accuracy: 1.0
Class: American_Pipit, Accuracy: 1.0
Class: Heermann_Gull, Accuracy: 1.0
Class: Prairie_Warbler, Accuracy: 0.5714285714285714
Class: Ruby_throated_Hummingbird, Accuracy: 0.8
Class: Vesper_Sparrow, Accuracy: 1.0  
